Record ID,Store Name,Store Type,Street Number,Street Name,Additional Address,City,State,Zip Code,Zip4,County,Latitude,Longitude,Authorization Date,End Date
385685,ARIRANG MINI MART 1,Small Grocery Store,362,Kinoole St, ,Hilo,HI,96720,2919,HAWAII,19.72172,-155.0869,2003-07-03,2011-08-24
704165,Armed Forces Recreation Ctr KMC  ,Convenience Store, ,Hawaii Volcanoes National Park,Bldg 37,Hawaii National Park,HI,96718, ,HAWAII,19.42893,-155.2532,1995-02-22,
310673,B NATURAL HEALTH FOODS  ,Small Grocery Store,68-1845,WAIKOLOA RD, ,WAIKOLOA,HI,96738,4749,HAWAII,19.9268,-155.7887,2003-07-16,2008-04-09
1303045,Bahay Kubo Asian Store 426,Convenience Store,74-5467,Kaiwi St,Ste 3,Kailua Kona,HI,96740,3143,HAWAII,19.64826,-155.9996,2017-12-11,2022-04-20
446182,BAKER TOM'S  ,Bakery Specialty,87-B,Banyan Dr, ,Hilo,HI,96720,4694,HAWAII,19.72831,-155.0653,2004-02-25,2013-01-03
365916,BANYAN MART  ,Convenience Store,76-6265,Alii Dr, ,Kailua Kona,HI,96740,2323,HAWAII,19.60664,-155.9763,1990-03-05,2024-11-18
1626665,Banyan Mart  ,Convenience Store,76-6265,Alii Dr,,Kailua Kona,HI,96740,2323,HAWAII,19.60672,-155.9762,2025-01-10,
1216699,Banyan Mini Mart 1,Convenience Store,71,Banyan Dr, ,Hilo,HI,96720,4693,HAWAII,19.72764,-155.0664,2015-11-02,2021-06-24
1216699,Banyan Mini Mart 1,Convenience Store,71,Banyan Dr, ,Hilo,HI,96720,4693,HAWAII,19.72764,-155.0664,2021-07-21,2021-10-23
1487289,Banyan Mini Mart 1,Convenience Store,71,Banyan Dr,Ste C,Hilo,HI,96720,4693,HAWAII,19.72809,-155.0667,2022-02-09,
1103191,Bayside Chevron  ,Convenience Store,774,Kamehameha Ave, ,Hilo,HI,96720,3057,HAWAII,19.72208,-155.0784,2013-08-01,2023-07-20
1554743,Bayside Texaco  ,Convenience Store,774,Kamehameha Ave,,Hilo,HI,96720,3057,HAWAII,19.72182,-155.0783,2023-08-18,
883556,Best Western Meat of Hawaii Inc  ,Delivery Route,74-5590,Eho St,A112,Kailua-Kona,HI,96740, ,HAWAII,19.64536,-155.9973,2009-02-12,2011-08-14
1356220,Big Island Beef Jerky  ,Meat/Poultry Specialty,21A,Kalanianaole Ave, ,Hilo,HI,96720,4742,HAWAII,19.72293,-155.0631,2019-05-01,
1433209,Big Island Farm Direct  ,Delivery Route,78-6898,Palekana Rd,,Holualoa,HI,96725,8706,HAWAII,19.56109,-155.9359,2021-03-31,2023-12-14
1069233,Big Island Raw Foods  ,Combination Grocery/Other,92-1329,Prince Kuhio Blvd, ,Captain Cook,HI,96704,9205,HAWAII,19.08385,-155.7762,2012-09-04,2013-08-03
958647,Bite Me Fish Market  ,Seafood Specialty,74-425,Kealakehe Pkwy,Ste 17,Kailua Kona,HI,96740,2708,HAWAII,19.6701,-156.0206,2011-03-28,2011-10-10
1026695,"Body Integration LLC, dba Island Organics  ",Small Grocery Store,14-1021,Kalikaa, ,Keaau,HI,96749,7109,HAWAII,19.58576,-154.9665,2011-11-03,2012-10-21
955782,Bread Box Keaau  ,Bakery Specialty,16-566,Keaau Pahoa Rd, ,Keaau,HI,96749,8105,HAWAII,19.6217,-155.0388,2010-06-28,2017-07-02
1084546,Bread Box Keaau  ,Bakery Specialty,16-566,Keaau Pahoa Rd, ,Keaau,HI,96749,8105,HAWAII,19.62147,-155.0387,2013-01-23,2014-03-12
1013596,Captain Cook Chevron Food Mart  ,Convenience Store,81-6316,Mamalahoa St, ,Captain Cook,HI,96704, ,HAWAII,19.49413,-155.9184,2011-07-05,
259368,CAPTAIN COOK MINI MART  ,Convenience Store,81-6372,MAMALAHOA HWY, ,KEALAKEKUA,HI,96750, ,HAWAII,19.49963,-155.9196,2004-02-17,2006-04-11
1278678,Captain Cook Mini Mart  ,Convenience Store,81-6372,Mamalahoa Hwy, ,Kealakekua,HI,96750,8185,HAWAII,19.49949,-155.9196,2017-04-26,
786231,Captain Cook Mini Mart Inc  ,Convenience Store,81-6372,Mamalahoa Hwy, ,Kealakekua,HI,96750,8132,HAWAII,19.49963,-155.9196,2006-05-31,2017-04-17
1203674,Chevron 1583,Convenience Store,321,E Makaala St, ,Hilo,HI,96720,5146,HAWAII,19.69931,-155.0637,2015-06-04,2016-10-31
968984,Chita's Travel & Filipino Store  ,Medium Grocery Store,68-1845,Waikoloa Rd,Ste 132,Waikoloa,HI,96738,5587,HAWAII,19.9268,-155.7887,2010-09-20,
433385,Choice Mart  ,Super Store,82-6066,Mamalahoa Hwy, ,Captain Cook,HI,96704,8202,HAWAII,19.48732,-155.9054,2000-05-23,
321762,CHRIS' BAKERY  ,Bakery Specialty,81-6596,Mamalahoa Hwy, ,Kealakekua,HI,96750,8131,HAWAII,19.51409,-155.9205,1997-01-27,2005-08-28
1038452,Convenience Plus LLC  ,Convenience Store,45-3244,Mamalahoa Hwy, ,Honokaa,HI,96727,0,HAWAII,20.06873,-155.4581,2012-01-03,2024-04-22
696212,Cost-U-Less 3,Combination Grocery/Other,715,Kinoole St, ,Hilo,HI,96720,3850,HAWAII,19.71749,-155.0841,1992-08-14,
923600,Costco Wholesale 0140,Super Store,73-5600,Maiau St, ,Kailua Kona,HI,96740,2630,HAWAII,19.68735,-156.0161,2009-10-30,
1105949,CVS 2406,Combination Grocery/Other,65-1261,Kawaihae Rd, ,Kamuela,HI,96743,8406,HAWAII,20.02203,-155.6727,2013-06-07,
1110949,CVS 5638,Combination Grocery/Other,96-3163,Pikake St, ,Pahala,HI,96777,9997,HAWAII,19.20201,-155.4772,2013-07-17,
